TestCase Name,TestCase Description,TestCase Result,Note,Status
"Column Reinforcement - without column above - Normbased setting - Reduce diameter of rebar smaller than min. dia value, create reinforcement - Creation and edit mode",The rebar generated with correct diameter from palette,As expected,Main feature,Pass
"Column Reinforcement - without column above - Normbased setting - Change diameter of main rebar, update preview and create reinforcement - Creation and edit mode",The stater length of main rebar is updated correctly according to diameter change,As expected,Main feature,Pass
"Column Reinforcement - without column above - Normbased setting - Open app, checking the default value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Column Reinforcement - without column above - Normbased setting - Click reset, checking the value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Column Reinforcement - without column above - Normbased setting - Update rebar settings (min dia, dia, bending pin), check the update of hook length - Creation and edit mode",The hooklength will be adapted according to the diameter change,As expected,Main feature,Pass
"Column Reinforcement - with column above - Normbased setting - Reduce diameter of rebar smaller than min. dia value, create reinforcement - Creation and edit mode",The rebar generated with correct diameter from palette,As expected,Main feature,Pass
"Column Reinforcement - with column above - Normbased setting - Change diameter of main rebar, update preview and create reinforcement - Creation and edit mode",The stater length of main rebar is updated correctly according to diameter change,As expected,Main feature,Pass
"Column Reinforcement - with column above - Normbased setting - Open app, checking the default value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Column Reinforcement - with column above - Normbased setting - Click reset, checking the value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Column Reinforcement - with column above - Normbased setting - Update rebar settings (min dia, dia, bending pin), check the update of hook length - Creation and edit mode",The hooklength will be adapted according to the diameter change,As expected,Main feature,Pass
